10200: 9223506, 9777492, 9667806, 6976992, 7516793, 8608638, 9656344, 9656209, 9496568, 9226010, 9787586, 9714445, 9767550, 9773543, 9714776, 9472596, 9652905, 9429236, 9782652, 9772575
10201: 9223506, 9777492, 9667806, 6976992, 7516793, 8608638, 9656344, 9656209, 9496568, 9226010, 9787586, 9714445, 9767550, 9773543, 9714776, 9472596, 9652905, 9429236, 9782652, 9772575
10623: 9551155, 9777299, 9782360, 9782984, 9709506, 9498153, 9588821, 9775283, 9788950, 9679995, 9347277, 9730284, 9506467, 9542988, 9646464, 9737199, 9777768, 9782142, 9413252, 9298242
10701: 9223506, 9777492, 9667806, 6976992, 7516793, 8608638, 9656344, 9656209, 9496568, 9226010, 9787586, 9714445, 9767550, 9773543, 9714776, 9472596, 9652905, 9429236, 9782652, 9772575
10971: 9551155, 9777299, 9782360, 9782984, 9709506, 9498153, 9588821, 9775283, 9788950, 9679995, 9347277, 9730284, 9506467, 9542988, 9646464, 9737199, 9777768, 9782142, 9413252, 9298242
11132: 9737243, 9769387, 9737023, 9759345, 9673134, 9780447, 9786213, 7112842, 9784804, 9654479, 9784607, 9698132, 9544516, 9695163, 9778386, 9668080, 9776292, 9654563, 9782407, 9772869
11609: 9551155, 9777299, 9782360, 9782984, 9709506, 9498153, 9588821, 9775283, 9788950, 9679995, 9347277, 9730284, 9506467, 9542988, 9646464, 9737199, 9777768, 9782142, 9413252, 9298242
11649: 9223506, 9777492, 9667806, 6976992, 7516793, 8608638, 9656344, 9656209, 9496568, 9226010, 9787586, 9714445, 9767550, 9773543, 9714776, 9472596, 9652905, 9429236, 9782652, 9772575
11724: 9737243, 9769387, 9737023, 9759345, 9673134, 9780447, 9786213, 7112842, 9784804, 9654479, 9784607, 9698132, 9544516, 9695163, 9778386, 9668080, 9776292, 9654563, 9782407, 9772869
11951: 9551155, 9777299, 9782360, 9782984, 9709506, 9498153, 9588821, 9775283, 9788950, 9679995, 9347277, 9730284, 9506467, 9542988, 9646464, 9737199, 9777768, 9782142, 9413252, 9298242
11986: 9737243, 9769387, 9737023, 9759345, 9673134, 9780447, 9786213, 7112842, 9784804, 9654479, 9784607, 9698132, 9544516, 9695163, 9778386, 9668080, 9776292, 9654563, 9782407, 9772869
12016: 9737243, 9769387, 9737023, 9759345, 9673134, 9780447, 9786213, 7112842, 9784804, 9654479, 9784607, 9698132, 9544516, 9695163, 9778386, 9668080, 9776292, 9654563, 9782407, 9772869
12286: 9551155, 9777299, 9782360, 9782984, 9709506, 9498153, 9588821, 9775283, 9788950, 9679995, 9347277, 9730284, 9506467, 9542988, 9646464, 9737199, 9777768, 9782142, 9413252, 9298242
12517: 9551155, 9777299, 9782360, 9782984, 9709506, 9498153, 9588821, 9775283, 9788950, 9679995, 9347277, 9730284, 9506467, 9542988, 9646464, 9737199, 9777768, 9782142, 9413252, 9298242
12598: 9737243, 9769387, 9737023, 9759345, 9673134, 9780447, 9786213, 7112842, 9784804, 9654479, 9784607, 9698132, 9544516, 9695163, 9778386, 9668080, 9776292, 9654563, 9782407, 9772869
12718: 9737243, 9769387, 9737023, 9759345, 9673134, 9780447, 9786213, 7112842, 9784804, 9654479, 9784607, 9698132, 9544516, 9695163, 9778386, 9668080, 9776292, 9654563, 9782407, 9772869
12750: 9223506, 9777492, 9667806, 6976992, 7516793, 8608638, 9656344, 9656209, 9496568, 9226010, 9787586, 9714445, 9767550, 9773543, 9714776, 9472596, 9652905, 9429236, 9782652, 9772575
12879: 9223506, 9777492, 9667806, 6976992, 7516793, 8608638, 9656344, 9656209, 9496568, 9226010, 9787586, 9714445, 9767550, 9773543, 9714776, 9472596, 9652905, 9429236, 9782652, 9772575
12974: 9551155, 9777299, 9782360, 9782984, 9709506, 9498153, 9588821, 9775283, 9788950, 9679995, 9347277, 9730284, 9506467, 9542988, 9646464, 9737199, 9777768, 9782142, 9413252, 9298242
13208: 9223506, 9777492, 9667806, 6976992, 7516793, 8608638, 9656344, 9656209, 9496568, 9226010, 9787586, 9714445, 9767550, 9773543, 9714776, 9472596, 9652905, 9429236, 9782652, 9772575
